#,Version,fileName,methodName,nAuth,methodHistories,loc,fain,fanout,wmc,returns,loops,comparison,maxNested,math,smells,buggy
"1","0.9.6","MappingDefaultsImpl.java","getNullIndicatorColumnName","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingDefaultsImpl.java","getJoinForeignKeyDeleteAction","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingDefaultsImpl.java","getVersionColumnName","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingDefaultsImpl.java","getDiscriminatorColumnName","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingInfo.java","canForeignKey","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingInfo.java","canUnique","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingInfo.java","getJoinDirection","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingInfo.java","getColumns","1","1","3","3","0","2","1","0","1","0","0","0","no"
"1","0.9.6","MappingInfo.java","getUnique","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingInfo.java","hasSchemaComponents","1","1","3","0","0","5","1","0","4","0","0","0","no"
"1","0.9.6","MappingInfo.java","getColumnIO","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingInfo.java","getForeignKey","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingInfo.java","getIndex","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingInfo.java","canIndex","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingInfo.java","getStrategy","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingRepository.java","(initializer 1)","0","0","3","0","0","1","0","0","0","0","0","0","no"
"1","0.9.6","MappingRepository.java","getMappingDefaults","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingRepository.java","getDBDictionary","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MetaDataPlusMappingFactory.java","getMappingDelegate","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","SequenceMapping.java","getMappingFile","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","SequenceMapping.java","getTable","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","SequenceMapping.java","getSequenceColumn","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","SequenceMapping.java","getPrimaryKeyValue","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","SequenceMapping.java","getPrimaryKeyColumn","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","StrategyInstaller.java","isAdapting","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ValueMappingImpl.java","getHandler","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Version.java","getColumnIO","1","1","3","1","0","2","1","0","1","0","0","0","no"
"1","0.9.6","Version.java","getColumns","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Version.java","getClassMapping","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Version.java","getMappingInfo","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Version.java","getIndex","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Version.java","getStrategy","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Version.java","getResolve","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Column.java","isRelationId","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Column.java","getTableName","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Column.java","getName","1","1","3","3","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Column.java","getType","1","1","3","4","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Column.java","getSize","1","1","3","3","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Column.java","getJavaType","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Column.java","getSchemaName","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Column.java","getTargetField","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Column.java","isPrimaryKey","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Column.java","getTypeName","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Column.java","getTarget","1","1","3","1","0","1","1","0","0","0","0","0","no"
