@relation BOOKKEEPER_B

@attribute nAuth numeric
@attribute methodHistories numeric
@attribute loc numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute wmc numeric
@attribute returns numeric
@attribute loops numeric
@attribute comparison numeric
@attribute maxNested numeric
@attribute math numeric
@attribute smells numeric
@attribute buggy {yes,no}

@data
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"0","0","9","0","0","1","0","0","0","0","3","0","no"
"0","0","9","2","1","2","1","0","0","1","0","0","no"
"2","2","26","0","2","6","2","0","2","1","3","0","yes"
"2","2","3","2","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"0","0","7","0","0","1","0","0","0","0","0","0","no"
"2","2","5","0","0","2","0","1","0","1","0","0","yes"
"4","4","30","0","0","10","1","0","4","2","2","0","yes"
"1","1","4","1","0","1","0","0","0","0","1","0","no"
"1","1","3","0","1","1","0","0","0","0","0","0","yes"
"1","1","3","0","1","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"1","1","4","1","0","1","0","0","0","0","1","0","yes"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","1","20","0","0","6","3","1","3","3","1","0","yes"
"0","0","4","0","0","1","0","0","0","0","0","0","no"
"1","1","4","0","0","2","1","0","0","0","1","0","no"
"1","1","3","0","0","1","1","0","0","0","2","0","no"
"1","1","4","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"1","1","9","0","0","3","0","1","1","2","0","0","no"
"1","1","4","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
