#,Version,fileName,methodName,nAuth,methodHistories,loc,fain,fanout,wmc,returns,loops,comparison,maxNested,math,smells,buggy
"1","4.0.0","LedgerEntryPage.java","getLedger","0","0","3","4","0","1","1","0","0","0","0","1","no"
"1","4.0.0","MarkerFileChannel.java","read","1","1","3","0","0","1","1","0","0","0","0","6","no"
"1","4.0.0","MarkerFileChannel.java","write","1","1","3","0","0","1","1","0","0","0","0","6","no"
"1","4.0.0","MarkerFileChannel.java","read","1","1","3","0","0","1","1","0","0","0","0","6","no"
"1","4.0.0","MarkerFileChannel.java","transferFrom","1","1","3","0","0","1","1","0","0","0","0","3","no"
"1","4.0.0","MarkerFileChannel.java","force","1","1","2","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","MarkerFileChannel.java","write","1","1","3","0","0","1","1","0","0","0","0","6","no"
"1","4.0.0","MarkerFileChannel.java","map","1","1","3","0","0","1","1","0","0","0","0","3","no"
"1","4.0.0","MarkerFileChannel.java","truncate","1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","MarkerFileChannel.java","read","1","1","3","0","0","1","1","0","0","0","0","6","no"
"1","4.0.0","MarkerFileChannel.java","tryLock","1","1","3","0","0","1","1","0","0","0","0","3","no"
"1","4.0.0","MarkerFileChannel.java","position","1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","MarkerFileChannel.java","transferTo","1","1","3","0","0","1","1","0","0","0","0","3","no"
"1","4.0.0","MarkerFileChannel.java","position","1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","MarkerFileChannel.java","lock","1","1","3","0","0","1","1","0","0","0","0","3","no"
"1","4.0.0","MarkerFileChannel.java","write","1","1","3","0","0","1","1","0","0","0","0","6","no"
"1","4.0.0","AsyncCallback.java","closeComplete","0","0","1","0","0","1","0","0","0","0","0","2","no"
"1","4.0.0","BKException.java","BKNoSuchLedgerExistsException","0","0","3","1","0","1","0","0","0","0","0","1","no"
"1","4.0.0","BookKeeper.java","deleteComplete","3","3","5","0","0","1","0","0","0","0","0","6","no"
"1","4.0.0","BookKeeperAdmin.java","process","1","1","5","0","0","2","0","0","0","1","1","3","no"
"1","4.0.0","CRC32DigestManager.java","getMacCodeLength","0","0","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","CRC32DigestManager.java","CRC32DigestManager","0","0","3","0","0","1","0","0","0","0","0","2","no"
"1","4.0.0","CRC32DigestManager.java","getValueAndReset","0","0","7","0","0","1","1","0","0","0","0","4","no"
"1","4.0.0","CRC32DigestManager.java","update","0","0","3","0","0","1","0","0","0","0","0","4","no"
"1","4.0.0","DigestManager.java","verifyDigestAndReturnData","0","0","5","0","1","1","1","0","0","0","1","3","no"
"1","4.0.0","DigestManager.java","getMacCodeLength","1","1","1","1","0","1","0","0","0","0","0","1","no"
"1","4.0.0","DigestManager.java","verifyDigest","1","1","3","1","1","1","0","0","0","0","0","18","no"
